(69, 4, 3)
(69, 4, 3)
(69, 4, 3)
(69, 4, 3)
(71, 4, 3)
(67, 4, 3)
(66, 4, 3)
(64, 4, 3)
(71, 4, 3)
(73, 4, 3)
(62, 4, 2)
(74, 4, -3)
(62.0, 8.0, 1.0)
(75, 4, -2)
(69, 2, -2)
(65, 12, -1)
(72, 4, -1)
(65.0, 2.0, 0.0)
(73.0, 4.0, 1.0)
(64.0, 8.0, 3.0)
(74, 4, -1)
(69.0, 2.0, -3.0)
(66, 2, 1)
(76, 4, 4)
(60.0, 4.0, -1.0)
(71, 2, 2)
(64.0, 16.0, 1.0)
(68, 8, 3)
(72, 4, -2)
(74, 8, 1)
(64, 2, 2)
(71, 2, 1)
(70, 6, -2)
(64.0, 4.0, 1.0)
(70, 4, 4)
(73, 8, 1)
(69.0, 16.0, 0.0)
(73, 2, 2)
(74, 4, 2)
(79.0, 2.0, 2.0)
(73, 4, 2)
(71.0, 4.0, -3.0)
(71, 4, 0)
(62, 4, -2)
(65.0, 2.0, -2.0)
(69, 12, -2)
(70, 8, -2)
(68, 8, -3)
(69.0, 12.0, 3.0)
(70, 4, -3)
